time,sec	res, Ohm
59.358	0.013
59.452	0.013
59.545	0.013
59.639	0.013
59.733	0.013
59.826	0.013
59.92	0.013
60.013	0.013
60.107	0.013
60.201	0.01299
60.294	0.013
60.388	0.013
60.481	0.013
60.575	0.013
60.669	0.013
60.762	0.01299
60.856	0.013
60.949	0.01299
61.043	0.01299
61.137	0.01299
61.23	0.013
61.324	0.013
61.417	0.01299
61.511	0.01299
61.605	0.01299
61.698	0.01299
61.792	0.01299
61.885	0.01299
